pmid,year,title,journal,doi,official_category,secondary_domain_tags,disease_scope,source_role,evidence_tier,pdf_version,pdf_filename,sha256,physical_pages,main_read_completed_on,reading_stage,supplement_status,review_status,source_asset,main_visual_physical_pages
35972732,2022,Monitoring Therapeutic Response to Anti-FAP CAR T Cells Using [18F]AlF-FAPI-74,Clinical Cancer Research,10.1158/1078-0432.ccr-22-1379,Precision Medicine and Imaging,molecular-imaging;cellular-therapy;stroma;preclinical;pharmacodynamics;statistics,lung adenocarcinoma and mesothelioma xenografts,preclinical pharmacodynamic PET monitoring of stroma-targeted CAR T cells,preclinical-imaging-validation,author_manuscript,Lee_Monitoring_Therapeutic_Response_to_Anti-FAP_CAR_T_Cells_Using_[18F]AlF-FAPI-74_PMID35972732.pdf,465af40bdd5529485cb040f8cd0ad6edc4cd448b5ad63a536b1248008c5aa914,25,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35972732-language.md,19;20;21;22;23;25
35762926,2022,Nivolumab Retreatment in Non-Small Cell Lung Cancer Patients Who Responded to Prior Immune Checkpoint Inhibitors and Had ICI-Free Intervals (WJOG9616L),Clinical Cancer Research,10.1158/1078-0432.ccr-22-0602,Research Briefs: Clinical Trial Brief Reports,immunotherapy;acquired-resistance;clinical-efficacy;IHC;circulating-tumor-cells;statistics;safety,advanced NSCLC with prior ICI benefit and subsequent resistance,lung prospective single-arm ICI-retreatment trial,early-phase-clinical,publisher_typeset_pdf,Akamatsu_Nivolumab_Retreatment_in_Non-Small_Cell_Lung_Cancer_Patients_Who_Responded_to_Prior_Immune_Che_PMID35762926.pdf,b863207bcd920f56d58855c2f6b2359b8fd83a62e2fc547256ae26722edc57df,7,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35762926-language.md,3;4;5
35727603,2022,Novel Radiomic Measurements of Tumor-Associated Vasculature Morphology on Clinical Imaging as a Biomarker of Treatment Response in Multiple Cancers,Clinical Cancer Research,10.1158/1078-0432.ccr-21-4148,Precision Medicine and Imaging,radiomics;bioinformatics;chemotherapy;targeted-therapy;survival-analysis;model-validation,breast cancer and NSCLC,retrospective cross-tumor radiomic response and prognostic modeling,retrospective-biomarker-modeling,author_style_manuscript_acceptance_version_unverified,Braman_Novel_Radiomic_Measurements_of_Tumor-Associated_Vasculature_Morphology_on_Clinical_Imaging_as_a_PMID35727603.pdf,e63c6a834e405d3936a207eecfec403c558f2733585a3a08b87352b576a7bd74,48,2026-09-26,main_text_deep_read_complete,reviewed,not_reviewed,ccr-2022-35727603-language.md,1;22;23;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46
35852792,2022,PD-1T TILs as a Predictive Biomarker for Clinical Benefit to PD-1 Blockade in Patients with Advanced NSCLC,Clinical Cancer Research,10.1158/1078-0432.ccr-22-0992,Precision Medicine and Imaging,immunotherapy;digital-pathology;spatial-immune-architecture;bioinformatics;statistics,advanced NSCLC receiving later-line PD-1 monotherapy,retrospective split-sample digital immune-pathology biomarker study,retrospective-clinical-correlative,publisher_typeset_pdf,Hummelink_PD-1T_TILs_as_a_Predictive_Biomarker_for_Clinical_Benefit_to_PD-1_Blockade_in_Patients_with_A_PMID35852792.pdf,850770b489434d972f33fe19c63e9b68023f54e3a6569b87649d0ec4c735663d,14,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35852792-language.md,4;5;6;7;8;9;10;11
35254415,2022,"Phase I Study of Taminadenant (PBF509/NIR178), an Adenosine 2A Receptor Antagonist, with or without Spartalizumab (PDR001), in Patients with Advanced Non-Small Cell Lung Cancer",Clinical Cancer Research,10.1158/1078-0432.ccr-21-2742,Clinical Trials: Immunotherapy,immunotherapy;adenosine-signaling;targeted-transcriptomics;pharmacokinetics;statistics,advanced non-small cell lung cancer,phase I dose escalation of adenosine antagonism with or without PD-1 blockade,early-phase-nonrandomized-clinical,author_manuscript,"Chiappori_Phase_I_Study_of_Taminadenant_(PBF509_NIR178),_an_Adenosine_2A_Receptor_Antagonist,_with_or_w_PMID35254415.pdf",3f9d7e79b0f349ebba478eceaca3f1a8bfd90a654a178e32216724e3306df2e7,19,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35254415-language.md,14;15;16;17;18;19
36044531,2022,"Phase Ia/b, Open-Label, Multicenter Study of AZD4635 (an Adenosine A2A Receptor Antagonist) as Monotherapy or Combined with Durvalumab, in Patients with Solid Tumors",Clinical Cancer Research,10.1158/1078-0432.ccr-22-0612,Clinical Trials: Targeted Therapy,early-phase trial;adenosine immunotherapy;targeted transcriptomics;pharmacokinetics;survival statistics,mixed solid tumors; mCRPC-focused; checkpoint-pretreated NSCLC subgroup,clinical-trial,phaseIa/Ib safety and exploratory clinical biomarker,publisher_typeset_pdf,"Lim_Phase_Ia_b,_Open-Label,_Multicenter_Study_of_AZD4635_(an_Adenosine_A2A_Receptor_Antagonist)_as_Mono_PMID36044531.pdf",02d7e0abfd486b122e56d7693d19c4387e30808c70489d286876d6573b1acec7,14,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-36044531-language.md,5;6;7;8;9;10
35046060,2022,Radioimmunotherapy Targeting Delta-like Ligand 3 in Small Cell Lung Cancer Exhibits Antitumor Efficacy with Low Toxicity,Clinical Cancer Research,10.1158/1078-0432.ccr-21-1533,Precision Medicine and Imaging,DLL3 targeted therapy;radioimmunotherapy;dosimetry;pathology;preclinical toxicity,SCLC xenografts; A549 negative assay control,preclinical-mechanism,targeted radiotherapy proof-of-concept in CDX and PDX,author_manuscript,Tully_Radioimmunotherapy_Targeting_Delta-like_Ligand_3_in_Small_Cell_Lung_Cancer_Exhibits_Antitumor_Eff_PMID35046060.pdf,56a240bc4ef82be3630e807a3486f9e121b4ad5b626031d60f467df87c10c872,24,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35046060-language.md,17;19;21;22;24
35247929,2022,RASGRF1 Fusions Activate Oncogenic RAS Signaling and Confer Sensitivity to MEK Inhibition,Clinical Cancer Research,10.1158/1078-0432.ccr-21-4291,Translational Cancer Mechanisms and Therapy,genomics;bulk transcriptomics;fusion discovery;bioinformatics;RAS signaling;MEK inhibitor;experimental transformation,LUAD discovery; pancreatic cancer and sarcoma fusion validation,preclinical-mechanism,clinical genomic discovery with preclinical functional validation,author_manuscript,Hunihan_RASGRF1_Fusions_Activate_Oncogenic_RAS_Signaling_and_Confer_Sensitivity_to_MEK_Inhibition_PMID35247929.pdf,b1fdb45315a5c2a6efeb06a2e781d85f550dfcf86ac22e861b508358672070ba,29,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35247929-language.md,20;21;23;25;27;28;29
35792876,2022,Rb Tumor Suppressor in Small Cell Lung Cancer: Combined Genomic and IHC Analysis with a Description of a Distinct Rb-Proficient Subset,Clinical Cancer Research,10.1158/1078-0432.ccr-22-1115,Translational Cancer Mechanisms and Therapy,genomics;IHC;RB1 functional status;STK11 KEAP1 co-mutation;clinicopathology;survival;bioinformatics,de novo SCLC including combined SCLC/NSCLC,clinical-correlative,retrospective paired genomic-IHC characterization and exploratory survival,publisher_typeset_pdf,Febres-Aldana_Rb_Tumor_Suppressor_in_Small_Cell_Lung_Cancer_Combined_Genomic_and_IHC_Analysis_with_a_De_PMID35792876.pdf,4c81302dfd43508750313642d0da1eaddd7db0b02c07c55820179f2975ab9c60,12,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35792876-language.md,4;5;6;7;8;9
35511917,2022,"Replication of Overall Survival, Progression-Free Survival, and Overall Response in Chemotherapy Arms of Non-Small Cell Lung Cancer Trials Using Real-World Data",Clinical Cancer Research,10.1158/1078-0432.ccr-22-0471,Clinical Trials: Immunotherapy,real-world-evidence;bioinformatics;propensity-score;external-controls;endpoint-validation;statistics,first-line advanced NSCLC chemotherapy comparator cohorts,real-world external-control and endpoint-replication methodology study,observational-methods,publisher_typeset_pdf,"Ton_Replication_of_Overall_Survival,_Progression-Free_Survival,_and_Overall_Response_in_Chemotherapy_Ar_PMID35511917.pdf",10ac86a6b1725700adf13b01e949874de5e041e74fad0c64df66bfcbbeb0d809,10,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35511917-language.md,4;5;6;7;8
35767426,2022,Systemic and Oligo-Acquired Resistance to PD-(L)1 Blockade in Lung Cancer,Clinical Cancer Research,10.1158/1078-0432.ccr-22-0657,Translational Cancer Mechanisms and Therapy,genomics;TMB;immunotherapy;acquired-resistance;local-therapy;statistics,metastatic NSCLC with acquired resistance after PD-(L)1 response,retrospective clinicogenomic resistance-pattern and local-therapy outcome study,retrospective-clinical,author_manuscript,Schoenfeld_Systemic_and_Oligo-Acquired_Resistance_to_PD-(L)1_Blockade_in_Lung_Cancer_PMID35767426.pdf,0ac0787cf24ec3176343916993a2ea84545cdd80160d888d09b76a90f5fcd10c,14,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35767426-language.md,11;12;13;14
35381070,2022,Targeting Podoplanin for the Treatment of Osteosarcoma,Clinical Cancer Research,10.1158/1078-0432.ccr-21-4509,Translational Cancer Mechanisms and Therapy,osteosarcoma;platelet biology;antibody humanization;RTK signaling;experimental metastasis;preclinical safety,osteosarcoma with experimental pulmonary metastasis,cross-tumor-methods,preclinical antibody engineering and tumor-platelet mechanism,publisher_typeset_pdf,Takemoto_Targeting_Podoplanin_for_the_Treatment_of_Osteosarcoma_PMID35381070.pdf,202b8b8fad0ecffcf036f05f174bbf7d4f0cdc0e8806da7c901d274524a4bad7,13,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35381070-language.md,3;4;5;6;9;10;11
35165102,2022,Targeting the Ubiquitin-Proteasome System Using the UBA1 Inhibitor TAK-243 is a Potential Therapeutic Strategy for Small-Cell Lung Cancer,Clinical Cancer Research,10.1158/1078-0432.ccr-21-0344,Translational Cancer Mechanisms and Therapy,functional genomics;bulk transcriptomics;bioinformatics;UBA1;PARP inhibition;drug synergy;radiotherapy;PDX,SCLC cell lines and patient-derived xenografts,preclinical-mechanism,preclinical pharmacology with exploratory transcriptomic biomarker association,publisher_typeset_pdf,Majeed_Targeting_the_Ubiquitin-Proteasome_System_Using_the_UBA1_Inhibitor_TAK-243_is_a_Potential_Therap_PMID35165102.pdf,be304fdf0f86ee07d16b67d221cde1d6073914151ef9d4b4b2b73b960d391a64,13,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35165102-language.md,2;4;6;7;8;10
34789481,2022,Tepotinib Efficacy and Safety in Patients with MET Exon 14 Skipping NSCLC: Outcomes in Patient Subgroups from the VISION Study with Relevance for Clinical Practice,Clinical Cancer Research,10.1158/1078-0432.ccr-21-2733,Clinical Trials: Targeted Therapy,MET;targeted-therapy;brain-metastasis;clinical-efficacy;safety;statistics,advanced MET exon14-skipping NSCLC,single-arm phase II subgroup and retrospective intracranial-response analysis,single-arm-clinical,publisher_typeset_pdf,Le_Tepotinib_Efficacy_and_Safety_in_Patients_with_MET_Exon_14_Skipping_NSCLC_Outcomes_in_Patient_Subgro_PMID34789481.pdf,57c6118ffc604352469156c5b6ab2caff16cfadf7cf2ca086c416d268334ce31,10,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-34789481-language.md,3;4;5;6;7;8
34753780,2022,The Pan-Tumor Landscape of Targetable Kinase Fusions in Circulating Tumor DNA,Clinical Cancer Research,10.1158/1078-0432.ccr-21-2136,Precision Medicine and Imaging,genomics;fusion-genes;liquid-biopsy;bioinformatics;assay-concordance;targeted-therapy-resistance;statistics,"pan-tumor genomic profiling including NSCLC, cholangiocarcinoma, colorectal and breast cancers",pan-tumor liquid-biopsy genomics and assay-concordance methods with lung-specific analyses,retrospective-clinical,publisher_typeset_pdf,Lee_The_Pan-Tumor_Landscape_of_Targetable_Kinase_Fusions_in_Circulating_Tumor_DNA_PMID34753780.pdf,f0ac55f1036ac70fd07874c0346ce99acd5db98f91c29e8cbe8f85281fc2a506,10,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-34753780-language.md,2;3;4;5;7;8
35144967,2022,Updated Integrated Analysis of the Efficacy and Safety of Entrectinib in Patients With NTRK Fusion-Positive Solid Tumors,Clinical Cancer Research,10.1158/1078-0432.ccr-21-3597,Clinical Trials: Targeted Therapy,NTRK-fusions;targeted-therapy;basket-trial;brain-metastasis;clinical-efficacy;safety;statistics,NTRK fusion-positive solid tumors including22NSCLC patients,integrated nonrandomized phase I/II tumor-agnostic efficacy and safety analysis,single-arm-clinical,publisher_typeset_pdf,Demetri_Updated_Integrated_Analysis_of_the_Efficacy_and_Safety_of_Entrectinib_in_Patients_With_NTRK_Fus_PMID35144967.pdf,3f3fcdc07b74fdffd7930c6cf6b9e90adf9516638cfff3d4fed7166ac1e7f266,11,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35144967-language.md,3;4;5;6;8;9
