year,journal,title,pmid,doi,publication_status,supplied_pdf_version,eligibility,disease_scope,source_role,official_category,official_category_status,primary_content_class,secondary_content_tags,tag_basis,reading_stage,main_read_completed_on,review_status,supplement_status,stk11_highlight,bibliography,reading_ledger,reading_evidence,source_disease_ids,source_tissue_ids,source_model_ids,source_use_roles,scope_curation_status,scope_reference,scope_reference_line,scope_boundary,scope_facet_status
2022,Clinical Cancer Research,"Identification and Management of Pathogenic Variants in BRCA1, BRCA2, and PALB2 in a Tumor-Only Genomic Testing Program",35363308,10.1158/1078-0432.ccr-21-2861,see source bibliography and intake manifest,publisher_typeset_pdf,included,pan-cancer tumor-only sequencing cohort including NSCLC and SCLC,pan-cancer genomic variant-curation and germline-testing implementation study,Precision Medicine and Imaging,official_section,pan-cancer genomic variant-curation and germline-testing implementation study,genomics;variant-curation;germline-testing;bioinformatics;clinical-implementation;statistics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2022-35363308-language.md;ccr-2022-35363308-evidence.md,mixed-solid-tumors;nsclc;sclc;breast-cancer;ovarian-cancer;pancreatic-cancer;prostate-cancer,tumor,human-clinical;computational,cross-tumor-methods;clinical-correlative,curated-source-scope,ccr-2022-35363308-evidence.md,7,"Tumor-detected P/LP is not confirmed germline,HRD or PARPi benefit. BRCA2173variantsoccurin162patients. Germline70.5%applies only selected132testedpatients. Historicalguidelinesnotcurrent; sourcecount/test inconsistencies retained.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2022,Clinical Cancer Research,Inhibition of LSD1 with Bomedemstat Sensitizes Small Cell Lung Cancer to Immune Checkpoint Blockade and T-Cell Killing,35920742,10.1158/1078-0432.ccr-22-1128,see source bibliography and intake manifest,author_manuscript,included,small cell lung cancer,preclinical epigenetic sensitization to checkpoint blockade,Translational Cancer Mechanisms and Therapy,official_section,preclinical epigenetic sensitization to checkpoint blockade,epigenetics;bulk-transcriptomics;bioinformatics;immunotherapy;flow-cytometry;statistics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2022-35920742-language.md;ccr-2022-35920742-evidence.md,sclc,tumor;spleen,human-cell-line;mouse-cell-line;mouse;pdx;gemm,lung-primary;preclinical-mechanism,curated-source-scope,ccr-2022-35920742-evidence.md,7,"Engineered OVA/LLO syngeneic immune model; preclinical tumor-growth and antigen-specific killing, not clinical benefit. BulkRNAseq/flow not single-cellRNAseq. Panel denominators and positivity/gMFI differ. Killing effector:target ratio, Fig5E color legend and Dunnett/Sidak discrepancies retained. Supplement files not supplied; trial schematic not outcomes.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2022,Clinical Cancer Research,"Mass Cytometry Reveals Classical Monocytes, NK Cells, and ICOS+ CD4+ T Cells Associated with Pembrolizumab Efficacy in Patients with Lung Cancer",36166003,10.1158/1078-0432.ccr-22-1386,see source bibliography and intake manifest,author_manuscript,included,advanced NSCLC with secondary melanoma validation,blood immune biomarker discovery and outcome association,Translational Cancer Mechanisms and Therapy,official_section,blood immune biomarker discovery and outcome association,single-cell-protein;mass-cytometry;bioinformatics;immunotherapy;survival-analysis;biomarker-development,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2022-36166003-language.md;ccr-2022-36166003-evidence.md,nsclc;melanoma,blood,human-clinical;computational,lung-primary;clinical-correlative;computational-methods,curated-source-scope,ccr-2022-36166003-evidence.md,7,"27selected baselineNSCLCPBMC samples; no non-ICI control or untreatedexternalNSCLC validation. BIPS thresholds outcome-optimized, HRperpoint notbinary. HighBIPS includes2PD; individualNK/ICOS Coxnonsignificant. PD-L1 HR/P, BIPS P and smokingpercentage discrepancies retained. Melanoma15on-treatment validation is differentcontext. CyTOF protein notscRNAseq.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2022,Clinical Cancer Research,Molecular Pathways and Mechanisms of BRAF in Cancer Therapy,35486097,10.1158/1078-0432.ccr-21-2138,see source bibliography and intake manifest,author_manuscript,excluded,BRAF-altered mixed cancers including NSCLC,background narrative review of RAF pharmacology and clinical development,Review,official_section,background narrative review of RAF pharmacology and clinical development,signaling;targeted-therapy;immunotherapy;resistance;drug-scheduling,bibliography content classification,screened,,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-2022-35486097-background.md,nsclc,,,,recorded-scope-normalized,,,"Article-level source context, not evidence that every expression applies to every listed disease.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""not-curated-not-absent"", ""tissue_ids"": ""not-curated-not-absent"", ""use_roles"": ""not-curated-not-absent""}"
2022,Clinical Cancer Research,Monitoring Therapeutic Response to Anti-FAP CAR T Cells Using [18F]AlF-FAPI-74,35972732,10.1158/1078-0432.ccr-22-1379,see source bibliography and intake manifest,author_manuscript,included,lung adenocarcinoma and mesothelioma xenografts,preclinical pharmacodynamic PET monitoring of stroma-targeted CAR T cells,Precision Medicine and Imaging,official_section,preclinical pharmacodynamic PET monitoring of stroma-targeted CAR T cells,molecular-imaging;cellular-therapy;stroma;preclinical;pharmacodynamics;statistics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2022-35972732-language.md;ccr-2022-35972732-evidence.md,lung-adenocarcinoma;mesothelioma,tumor;blood;bone;bone-marrow;spleen,human-cell-line;mouse;cdx;ex-vivo,lung-primary;preclinical-mechanism,curated-source-scope,ccr-2022-35972732-evidence.md,7,"NSGxenografttargetdepletion, notpatientbenefit orvalidatedsurvivalprediction. A549signalhostCAFnotmalignantcellFAP. n4control/n8CAR;technicalreplicatesnotanimals. Fig1%ID/gvs%ID/10^6cellunitandFig2Dmodelcaptionconflicts; pairedstructureignoredbyreportedunpairedtests. Partialvolumebias andbonemarrowuptakechangesretained. Noomics/supplementvisualverification.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2022,Clinical Cancer Research,Nivolumab Retreatment in Non-Small Cell Lung Cancer Patients Who Responded to Prior Immune Checkpoint Inhibitors and Had ICI-Free Intervals (WJOG9616L),35762926,10.1158/1078-0432.ccr-22-0602,see source bibliography and intake manifest,publisher_typeset_pdf,included,advanced NSCLC with prior ICI benefit and subsequent resistance,lung prospective single-arm ICI-retreatment trial,Research Briefs: Clinical Trial Brief Reports,official_section,lung prospective single-arm ICI-retreatment trial,immunotherapy;acquired-resistance;clinical-efficacy;IHC;circulating-tumor-cells;statistics;safety,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2022-35762926-language.md;ccr-2022-35762926-evidence.md,nsclc,tumor;blood,human-clinical,lung-primary;clinical-trial;clinical-correlative,curated-source-scope,ccr-2022-35762926-evidence.md,7,"Negative ORR primary endpoint. ICI-free interval is a single-arm association, not a validated predictive biomarker or recommended waiting period. Responder-only PFS is postbaseline selected. Figure3n56 not59; no validated CTC signal.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2022,Clinical Cancer Research,Novel Radiomic Measurements of Tumor-Associated Vasculature Morphology on Clinical Imaging as a Biomarker of Treatment Response in Multiple Cancers,35727603,10.1158/1078-0432.ccr-21-4148,see source bibliography and intake manifest,author_style_manuscript_acceptance_version_unverified,included,breast cancer and NSCLC,retrospective cross-tumor radiomic response and prognostic modeling,Precision Medicine and Imaging,official_section,retrospective cross-tumor radiomic response and prognostic modeling,radiomics;bioinformatics;chemotherapy;targeted-therapy;survival-analysis;model-validation,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,reviewed,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2022-35727603-language.md;ccr-2022-35727603-evidence.md,breast-cancer;nsclc,,human-clinical;computational,lung-primary;cross-tumor-methods;clinical-correlative;computational-methods,curated-source-scope,ccr-2022-35727603-evidence.md,7,"Fourseparate retrospectiveimagingmodels, heterogeneousendpoints/timeorigins; PLATresponseincludesSD. No genomics or provenpredictiveinteraction. PLATcontinuousrisknull/TCHPlogisticnull. Multiplecohortcount,figurelabel,unitandadjustedestimateconflicts documented; useversion-specificevidence. TestvsfullcohortKMnotmatchedcomparison; robustnessNSnot equivalence. Embedded supplementread; acceptance/VORversion unverified.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""not-curated-not-absent"", ""use_roles"": ""identified-not-exhaustive""}"
2022,Clinical Cancer Research,PD-1T TILs as a Predictive Biomarker for Clinical Benefit to PD-1 Blockade in Patients with Advanced NSCLC,35852792,10.1158/1078-0432.ccr-22-0992,see source bibliography and intake manifest,publisher_typeset_pdf,included,advanced NSCLC receiving later-line PD-1 monotherapy,retrospective split-sample digital immune-pathology biomarker study,Precision Medicine and Imaging,official_section,retrospective split-sample digital immune-pathology biomarker study,immunotherapy;digital-pathology;spatial-immune-architecture;bioinformatics;statistics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2022-35852792-language.md;ccr-2022-35852792-evidence.md,nsclc,tumor;blood,human-clinical;human-tissue;computational,clinical-correlative;computational-methods,curated-source-scope,ccr-2022-35852792-evidence.md,7,"Single-center43/77internal split notexternaltrial. 90cells/mm2 differsfromOD.25assaycalibration. NPVdependsontimeendpointandprevalence; nocausalwithholdingrule or treatmentinteraction. SpatialIHCnotspatialomics. TLSnullcomparisons,one-sidedsubgroupPvalues andPDL1OSCI/Pconflict retained.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2022,Clinical Cancer Research,"Phase I Study of Taminadenant (PBF509/NIR178), an Adenosine 2A Receptor Antagonist, with or without Spartalizumab (PDR001), in Patients with Advanced Non-Small Cell Lung Cancer",35254415,10.1158/1078-0432.ccr-21-2742,see source bibliography and intake manifest,author_manuscript,included,advanced non-small cell lung cancer,phase I dose escalation of adenosine antagonism with or without PD-1 blockade,Clinical Trials: Immunotherapy,official_section,phase I dose escalation of adenosine antagonism with or without PD-1 blockade,immunotherapy;adenosine-signaling;targeted-transcriptomics;pharmacokinetics;statistics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2022-35254415-language.md;ccr-2022-35254415-evidence.md,nsclc,tumor;plasma,human-clinical;human-tissue,clinical-trial;clinical-correlative,curated-source-scope,ccr-2022-35254415-evidence.md,7,25 per arm but ORR denominators21/24. Nonrandomized and prior-IO imbalance. Main abstract/methods disagree on efficacy endpoint status. PD-L1 and paired RNA samples small; no validated predictor. Follow-up phase-II insufficient activity is cited secondary evidence. Supplements not supplied.,"{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2022,Clinical Cancer Research,"Phase Ia/b, Open-Label, Multicenter Study of AZD4635 (an Adenosine A2A Receptor Antagonist) as Monotherapy or Combined with Durvalumab, in Patients with Solid Tumors",36044531,10.1158/1078-0432.ccr-22-0612,see source bibliography and intake manifest,publisher_typeset_pdf,included,mixed solid tumors; mCRPC-focused; checkpoint-pretreated NSCLC subgroup,clinical-trial,Clinical Trials: Targeted Therapy,official_section,clinical-trial,early-phase trial;adenosine immunotherapy;targeted transcriptomics;pharmacokinetics;survival statistics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2022-36044531-language.md;ccr-2022-36044531-evidence.md,mixed-solid-tumors;nsclc,blood;plasma;tumor,human-clinical;human-tissue,clinical-trial;clinical-correlative,curated-source-scope,ccr-2022-36044531-evidence.md,7,"mCRPC findings are not lung efficacy; NSCLC had no objective responses. Preserve analysis-set denominators, CR/PR source conflict and nonsignificant treatment PFS; blood signature is exploratory, not validated predictive interaction.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2022,Clinical Cancer Research,Quantitative Spatial Profiling of TILs as the Next Step beyond PD-L1 Testing for Immune Checkpoint Blockade,36103258,10.1158/1078-0432.ccr-22-2277,see source bibliography and intake manifest,author_manuscript,excluded,,,CCR Translations,official_section,commentary,,no secondary topic verification recorded,indexed,,not_reviewed,not_recorded,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md,,,,,unclassified,,,"Article-level source context, not evidence that every expression applies to every listed disease.","{""disease_ids"": ""not-curated-not-absent"", ""model_ids"": ""not-curated-not-absent"", ""tissue_ids"": ""not-curated-not-absent"", ""use_roles"": ""not-curated-not-absent""}"
2022,Clinical Cancer Research,Radioimmunotherapy Targeting Delta-like Ligand 3 in Small Cell Lung Cancer Exhibits Antitumor Efficacy with Low Toxicity,35046060,10.1158/1078-0432.ccr-21-1533,see source bibliography and intake manifest,author_manuscript,included,SCLC xenografts; A549 negative assay control,preclinical-mechanism,Precision Medicine and Imaging,official_section,preclinical-mechanism,DLL3 targeted therapy;radioimmunotherapy;dosimetry;pathology;preclinical toxicity,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2022-35046060-language.md;ccr-2022-35046060-evidence.md,sclc,tumor;blood;serum;liver,human-cell-line;mouse;cdx;pdx,lung-primary;preclinical-mechanism,curated-source-scope,ccr-2022-35046060-evidence.md,7,"Mouse single-dose radioimmunotherapy, not clinical immunotherapy. Retain gross versus pathological response denominators, severe high-dose toxicity and model-specific blood recovery; human dosimetry is estimated, not measured.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2022,Clinical Cancer Research,RASGRF1 Fusions Activate Oncogenic RAS Signaling and Confer Sensitivity to MEK Inhibition,35247929,10.1158/1078-0432.ccr-21-4291,see source bibliography and intake manifest,author_manuscript,included,LUAD discovery; pancreatic cancer and sarcoma fusion validation,preclinical-mechanism,Translational Cancer Mechanisms and Therapy,official_section,preclinical-mechanism,genomics;bulk transcriptomics;fusion discovery;bioinformatics;RAS signaling;MEK inhibitor;experimental transformation,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2022-35247929-language.md;ccr-2022-35247929-evidence.md,lung-adenocarcinoma;pancreatic-cancer;sarcoma,tumor;blood,human-tissue;human-cell-line;mouse-cell-line;mouse;cdx;computational,lung-primary;preclinical-mechanism;clinical-correlative,curated-source-scope,ccr-2022-35247929-evidence.md,7,"WES/RNA-seq subset25 of103;98/103 known drivers is not fusion prevalence. MEK response is preclinical, in vivo drug testing uses pancreatic CDX. Preserve fusion-specific negative findings and ectopic/endogenous context.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2022,Clinical Cancer Research,Rb Tumor Suppressor in Small Cell Lung Cancer: Combined Genomic and IHC Analysis with a Description of a Distinct Rb-Proficient Subset,35792876,10.1158/1078-0432.ccr-22-1115,see source bibliography and intake manifest,publisher_typeset_pdf,included,de novo SCLC including combined SCLC/NSCLC,clinical-correlative,Translational Cancer Mechanisms and Therapy,official_section,clinical-correlative,genomics;IHC;RB1 functional status;STK11 KEAP1 co-mutation;clinicopathology;survival;bioinformatics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2022-35792876-language.md;ccr-2022-35792876-evidence.md,sclc;lcnec;lung-squamous;lung-adenocarcinoma,tumor,human-clinical;human-tissue;computational,lung-primary;clinical-correlative;structural-analogue,curated-source-scope,ccr-2022-35792876-evidence.md,7,"Rb protein expression, mutation detection and inferred function are distinct. STK11/KEAP1 findings concern a14-case Rb-proficient SCLC subset; full-cohort OS P=.46, ES-ever selection is exploratory; no tested CDK4/6 or ICI benefit.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2022,Clinical Cancer Research,"Replication of Overall Survival, Progression-Free Survival, and Overall Response in Chemotherapy Arms of Non-Small Cell Lung Cancer Trials Using Real-World Data",35511917,10.1158/1078-0432.ccr-22-0471,see source bibliography and intake manifest,publisher_typeset_pdf,included,first-line advanced NSCLC chemotherapy comparator cohorts,real-world external-control and endpoint-replication methodology study,Clinical Trials: Immunotherapy,official_section,real-world external-control and endpoint-replication methodology study,real-world-evidence;bioinformatics;propensity-score;external-controls;endpoint-validation;statistics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2022-35511917-language.md;ccr-2022-35511917-evidence.md,nsclc,,human-clinical;computational,computational-methods;clinical-correlative,curated-source-scope,ccr-2022-35511917-evidence.md,7,"Chemotherapycontrols,notICIoutcomevalidation;CGDBNGSnotused. ATTweightsRWDnotRCTdespitecaptionconflict. ResidualimbalanceandOSmismatchremain;weightedpseudoNnotpatientcount. RwRRunconfirmedandmissingincluded. OverlappingCIs donotproveequivalence/no confounding.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""not-curated-not-absent"", ""use_roles"": ""identified-not-exhaustive""}"
2022,Clinical Cancer Research,Systemic and Oligo-Acquired Resistance to PD-(L)1 Blockade in Lung Cancer,35767426,10.1158/1078-0432.ccr-22-0657,see source bibliography and intake manifest,author_manuscript,included,metastatic NSCLC with acquired resistance after PD-(L)1 response,retrospective clinicogenomic resistance-pattern and local-therapy outcome study,Translational Cancer Mechanisms and Therapy,official_section,retrospective clinicogenomic resistance-pattern and local-therapy outcome study,genomics;TMB;immunotherapy;acquired-resistance;local-therapy;statistics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2022-35767426-language.md;ccr-2022-35767426-evidence.md,nsclc,tumor,human-clinical,clinical-correlative,curated-source-scope,ccr-2022-35767426-evidence.md,7,"ConditiononinitialresponseandclassifiableAR;28deathswithoutimagingexcluded. ≤3progressivelesionsnotalllesions. Localtherapyobservational57vs23,notcausalbenefit. Abstract/bodyHRandCI/Pconflictsretained;58%conditional56continuation/surveillancecases. Mechanismsproposednotassayed.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2022,Clinical Cancer Research,Targeting Podoplanin for the Treatment of Osteosarcoma,35381070,10.1158/1078-0432.ccr-21-4509,see source bibliography and intake manifest,publisher_typeset_pdf,included,osteosarcoma with experimental pulmonary metastasis,cross-tumor-methods,Translational Cancer Mechanisms and Therapy,official_section,cross-tumor-methods,osteosarcoma;platelet biology;antibody humanization;RTK signaling;experimental metastasis;preclinical safety,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2022-35381070-language.md;ccr-2022-35381070-evidence.md,osteosarcoma,tumor;blood;lung;bone,human-cell-line;human-tissue;mouse;cdx;pdx;gemm;ex-vivo,cross-tumor-methods;preclinical-mechanism,curated-source-scope,ccr-2022-35381070-evidence.md,7,Osteosarcoma lung metastasis is not primary lung cancer. Antibody precedes IV tumor inoculation; no established-metastasis clinical efficacy. Assay-negative ADCC/CDC and single-dose acute toxicity do not prove universal safety.,"{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2022,Clinical Cancer Research,Targeting the Ubiquitin-Proteasome System Using the UBA1 Inhibitor TAK-243 is a Potential Therapeutic Strategy for Small-Cell Lung Cancer,35165102,10.1158/1078-0432.ccr-21-0344,see source bibliography and intake manifest,publisher_typeset_pdf,included,SCLC cell lines and patient-derived xenografts,preclinical-mechanism,Translational Cancer Mechanisms and Therapy,official_section,preclinical-mechanism,functional genomics;bulk transcriptomics;bioinformatics;UBA1;PARP inhibition;drug synergy;radiotherapy;PDX,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2022-35165102-language.md;ccr-2022-35165102-evidence.md,sclc,tumor,human-cell-line;mouse;pdx;computational,lung-primary;preclinical-mechanism;computational-methods,curated-source-scope,ccr-2022-35165102-evidence.md,7,"26 drug-profiled and24 expression-profiled lines; two PDX patient lineages with three states. Correlative gene sets are not validated clinical predictors; animal volumetric endpoint is not OS, primary null comparisons and endpoint changes must be retained.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2022,Clinical Cancer Research,Tepotinib Efficacy and Safety in Patients with MET Exon 14 Skipping NSCLC: Outcomes in Patient Subgroups from the VISION Study with Relevance for Clinical Practice,34789481,10.1158/1078-0432.ccr-21-2733,see source bibliography and intake manifest,publisher_typeset_pdf,included,advanced MET exon14-skipping NSCLC,single-arm phase II subgroup and retrospective intracranial-response analysis,Clinical Trials: Targeted Therapy,official_section,single-arm phase II subgroup and retrospective intracranial-response analysis,MET;targeted-therapy;brain-metastasis;clinical-efficacy;safety;statistics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2022-34789481-language.md;ccr-2022-34789481-evidence.md,nsclc,plasma;tumor,human-clinical,clinical-trial;clinical-correlative,curated-source-scope,ccr-2022-34789481-evidence.md,7,"Efficacy152 versus safety255; descriptive, overlapping subgroups are not equivalence/interaction tests. Intracranial13/15control and5/7PR are different estimands; all7measurableBM hadpriorRT. Preserve3fatalTRAE narratives and source-specific grade/timing. NoSTK11highlight.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2022,Clinical Cancer Research,The Liver-Immunity Nexus and Cancer Immunotherapy,34285059,10.1158/1078-0432.ccr-21-1193,see source bibliography and intake manifest,publisher_typeset_pdf,excluded,cross-tumor liver metastases including melanoma and NSCLC,background narrative review of hepatic immunity and immunotherapy,Review,official_section,background narrative review of hepatic immunity and immunotherapy,immunotherapy;liver-metastases;tumor-immunology;secondary-omics-background,bibliography content classification,screened,,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-2022-34285059-background.md,melanoma;nsclc,,,,recorded-scope-normalized,,,"Article-level source context, not evidence that every expression applies to every listed disease.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""not-curated-not-absent"", ""tissue_ids"": ""not-curated-not-absent"", ""use_roles"": ""not-curated-not-absent""}"
2022,Clinical Cancer Research,The Pan-Tumor Landscape of Targetable Kinase Fusions in Circulating Tumor DNA,34753780,10.1158/1078-0432.ccr-21-2136,see source bibliography and intake manifest,publisher_typeset_pdf,included,"pan-tumor genomic profiling including NSCLC, cholangiocarcinoma, colorectal and breast cancers",pan-tumor liquid-biopsy genomics and assay-concordance methods with lung-specific analyses,Precision Medicine and Imaging,official_section,pan-tumor liquid-biopsy genomics and assay-concordance methods with lung-specific analyses,genomics;fusion-genes;liquid-biopsy;bioinformatics;assay-concordance;targeted-therapy-resistance;statistics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2022-34753780-language.md;ccr-2022-34753780-evidence.md,mixed-solid-tumors;nsclc;biliary-tract-cancer;colorectal-cancer;breast-cancer,tumor;plasma,human-clinical;computational,lung-primary;cross-tumor-methods;clinical-correlative,curated-source-scope,ccr-2022-34753780-evidence.md,7,"PPA92%=47/51conditional tissue-positive cases,not allpatients or47/63. Case andfusioncounts differ. Plasma-only alterations are putative resistance,notproven; Table2chronology/kinaseattribution overrides conflictinggeneralprose. NoRNA/functionalconfirmationofallfusions.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
